업소명,도로명주소,소재지주소,음식의유형,주된음식종류,전화번호
구미돈 기사식당,부산광역시 사하구 하신중앙로 40 (장림동),부산광역시 사하구 장림동 1119-0 ,한식,해장국, 051 2619100
괴정 생아구전문,부산광역시 사하구 낙동대로233번길 29 (괴정동),부산광역시 사하구 괴정동 883-12 ,한식,아구찜, 051 2013595
한패 부산본점,부산광역시 사하구 낙동대로 123 (괴정동),부산광역시 사하구 괴정동 358-1 ,한식,돼지갈비, 051 2024554
남해횟집,부산광역시 사하구 하신번영로157번길 34 (신평동),부산광역시 사하구 신평동 624-12 ,한식,생선회, 051 2923345
시골돼지국밥,부산광역시 사하구 괴정로43번길 23 (하단동),부산광역시 사하구 하단동 155-4 ,한식,돼지국밥, 051 2035551
명가정,부산광역시 사하구 감천로38번길 35 (감천동),부산광역시 사하구 감천동 687-1 ,한식,소갈비살, 051 2059997
돈미담왕소금구이,부산광역시 사하구 하신번영로 378 (하단동),부산광역시 사하구 하단동 474 ,한식,삼겹살, 051 2040600
푸주옥,부산광역시 사하구 사하로 133 (괴정동),부산광역시 사하구 괴정동 493-30 ,한식,설렁탕, 051 2078879
신송집,부산광역시 사하구 낙동대로 384 (당리동),부산광역시 사하구 당리동 321-5 ,일식,생선회, 051 2064228
봉수대 숯불갈비,부산광역시 사하구 다대동로 72-2 (다대동),부산광역시 사하구 다대동 341-1 ,한식,바베큐,051 208 0637
다대포원조해물칼국수,"부산광역시 사하구 다대로 665, 2층 (다대동)",부산광역시 사하구 다대동 461-5 2층 ,한식,해물칼국수,051 263 9292
선미아구찜,부산광역시 사하구 괴정로 25-1 (하단동),부산광역시 사하구 하단동 431 ,한식,아구찜,051 271 4567
화화 돼지 왕갈비,"부산광역시 사하구 장림번영로 71 (장림동, 9호동)",부산광역시 사하구 장림동 316-20 ,한식,삼겹살, 055 2634992
해강횟집,부산광역시 사하구 사리로 21 (괴정동),부산광역시 사하구 괴정동 296-4 ,한식,생선회,051 208 0012
주왕산삼계탕,부산광역시 사하구 장림로 188 (장림동),부산광역시 사하구 장림동 673-7 ,한식,삼계탕,051 263 6211
산성집,부산광역시 금정구 산성로 524 (금성동),부산광역시 금정구 금성동 864 ,,염소불고기, 051 5177900
물레방아집,부산광역시 금정구 산성로 522 (금성동),부산광역시 금정구 금성동 882 ,한식,오리고기, 051 5175555
풍년오리박사,부산광역시 금정구 청룡로 40 (청룡동),부산광역시 금정구 청룡동 45-3 ,,오리고기,051 508 4642
송해반점,"부산광역시 금정구 중앙대로 2089-5, 1,2층 101-1,101-2호 (남산동)",부산광역시 금정구 남산동 48-2 ,,중화요리, 051 5174543
성용장,부산광역시 금정구 놀이마당로 25 (청룡동),부산광역시 금정구 청룡동 631-6 ,,오리고기, 051 5085353
소문난 통 찌게마을,부산광역시 금정구 서동로176번길 9 (서동),부산광역시 금정구 서동 210-20 ,,,
본중식,부산광역시 금정구 금샘로 359 (구서동),부산광역시 금정구 구서동 1032-4 ,,,051 512 5005
골목집,부산광역시 금정구 서동로176번길 13-11 (서동),부산광역시 금정구 서동 210-14 ,,복요리, 051 5246177
동경식당,부산광역시 금정구 서동로175번길 32 (서동),부산광역시 금정구 서동 206-13 ,,초밥, 051 5268488
옥미아구찜 남산점,부산광역시 금정구 금강로611번길 36 (남산동),부산광역시 금정구 남산동 993-42 ,,아구찜,051 519 1122
배비장보쌈,"부산광역시 금정구 금정로 239, 1,2,3층 (구서동)",부산광역시 금정구 구서동 84-15 ,,보쌈, 051 5152106
본토박이,부산광역시 금정구 산성로 438 (금성동),부산광역시 금정구 금성동 220-3 ,,염소불고시,051 515 5038
행복한오리구서,부산광역시 금정구 중앙대로1793번길 38 (구서동),부산광역시 금정구 구서동 420-20 ,,생선회,051 583 4406
우정갈비,부산광역시 금정구 금샘로 353 (구서동),부산광역시 금정구 구서동 1032-8 ,,생갈비, 051 5132100
대성갈비,부산광역시 금정구 금강로 630 (남산동),부산광역시 금정구 남산동 179-1 ,,돼지갈비, 051 5148630
부산압구정한우갈비,부산광역시 금정구 청룡로 61 (남산동),부산광역시 금정구 남산동 953-11 ,,생갈비, 051 5120025
금정어(魚)가,부산광역시 금정구 두실로 17 (구서동),부산광역시 금정구 구서동 159-45 ,,장어구이, 051 5148216
별미청 돼지국밥,부산광역시 금정구 금정로 249 (구서동),부산광역시 금정구 구서동 84-4 ,,해물탕,051 583 1688
종하뷔페식당,부산광역시 금정구 식물원로44번길 12 (장전동),부산광역시 금정구 장전동 621-18 ,한식,쌈밥,051 515 5789
손씨집,부산광역시 금정구 상마1길 46 (청룡동),부산광역시 금정구 청룡동 517-4 ,,오리고기, 051 5084477
오복미역,부산광역시 금정구 금정로 251 (구서동),부산광역시 금정구 구서동 84-17 ,,회초밥,051 582 5926
돈모리,부산광역시 금정구 금강로 593 (구서동),부산광역시 금정구 구서동 637-2 ,,,051 583 9289
카페드팽(Cafe' De Pain),"부산광역시 금정구 금강로 247-7, 1층 (장전동)",부산광역시 금정구 장전동 424-3 ,,비빔밥,
참나무숯불구이,부산광역시 금정구 금정로 25 (장전동),부산광역시 금정구 장전동 342-13 ,,생갈비, 051 5825392
금정산성 창녕집,부산광역시 금정구 산성로 520 (금성동),부산광역시 금정구 금성동 876 ,한식,오리고기,051 517 5288
현대가든,부산광역시 금정구 산성로 510 (금성동),부산광역시 금정구 금성동 713-2 ,,염소불고기, 051 5176767
(주)꾼닭꾼덕,부산광역시 금정구 금정로 57 (장전동),부산광역시 금정구 장전동 422-3 ,,부대찌게, 051 5825491
청사초롱,부산광역시 금정구 산성로 447 (금성동),부산광역시 금정구 금성동 554-15 ,,염소불고기,051 517 8849
미방,부산광역시 금정구 하마1길 57 (청룡동),부산광역시 금정구 청룡동 435-1 ,,오리고기,051 508 3222
고기집,부산광역시 금정구 범어천로 66 (남산동),부산광역시 금정구 남산동 18-1 ,,생갈비, 051 5824688
선비촌숯불한우,부산광역시 금정구 남산로 39 (남산동),부산광역시 금정구 남산동 987-3 ,,소갈비, 051 5157889
경희궁,부산광역시 금정구 금샘로 441 (구서동),부산광역시 금정구 구서동 1005-8 ,한식,샤브샤브, 051 5179292
서울녹각삼계탕,부산광역시 금정구 반송로 412 (금사동),부산광역시 금정구 금사동 145-3 ,,삼계탕, 051 5279191
명수정,"부산광역시 금정구 구서로 23, 4층 (구서동)",부산광역시 금정구 구서동 413-3 ,,생갈비, 051 5174114
다루,부산광역시 금정구 금샘로 375 (구서동),부산광역시 금정구 구서동 1026-9 ,,,051 513 3395
보배쭈꾸미 구서점,부산광역시 금정구 금정로233번길 41 (구서동),부산광역시 금정구 구서동 415-2 ,한식,고기뷔페,
장인해장국,부산광역시 금정구 부산대학로64번길 12-4 (장전동),부산광역시 금정구 장전동 401-25 ,,보쌈, 051 5181320
마루돼지국밥,부산광역시 금정구 개좌로 59-12 (금사동),부산광역시 금정구 금사동 67-15 ,,생선회, 051 5297224
선미아구찜,부산광역시 금정구 금샘로 473 (남산동),부산광역시 금정구 남산동 992-2 ,,아구찜, 051 5141212
대성관,부산광역시 금정구 금강로 179 (장전동),부산광역시 금정구 장전동 598-8 ,,생선회, 051 5184001
일송면옥,"부산광역시 금정구 부곡로141번길 6, 1,2층 (부곡동)",부산광역시 금정구 부곡동 273-25 ,,"밀면,갈비", 051 5143381
서울식당,부산광역시 금정구 서부로16번길 10 (서동),부산광역시 금정구 서동 196-25 ,,갈비, 051 5279433
오륙도낙지,부산광역시 금정구 수림로20번길 49 (부곡동),부산광역시 금정구 부곡동 65-6 ,,낙지볶음, 051 5150016
맛골,부산광역시 금정구 서동중심로 62 (서동),부산광역시 금정구 서동 199-5 ,,샤브샤브, 051 5255004
천미식당,부산광역시 금정구 식물원로44번길 8-4 (장전동),부산광역시 금정구 장전동 621-10 ,,회정식, 051 5827991
서울깍두기,부산광역시 금정구 장전온천천로 75 (장전동),부산광역시 금정구 장전동 412-11 ,한식,설렁탕,051 582 9005
남산찹쌀아구찜,부산광역시 금정구 금강로 694 (남산동),부산광역시 금정구 남산동 96-1 ,,아구찜,051 516 1506
한우고기집,부산광역시 금정구 금샘로 341 (구서동),부산광역시 금정구 구서동 1033-3 ,,스테이크, 051 5833553
거창맷돌(본점),부산광역시 금정구 부곡로 158 (부곡동),부산광역시 금정구 부곡동 265-9 ,,순두부, 051 5133537
무심정,부산광역시 금정구 북문로 23 (금성동),부산광역시 금정구 금성동 528-4 ,,오리고기,051 517 3352
늘아침,부산광역시 금정구 부산대학로64번길 155 (장전동),부산광역시 금정구 장전동 157-18 ,,오리고기, 051 5189200
서울깍두기,부산광역시 금정구 금단로 203 (남산동),부산광역시 금정구 남산동 251-4 ,,설렁팅, 051 5821411
마루,부산광역시 금정구 중앙대로1719번길 23 (부곡동),부산광역시 금정구 부곡동 225-71 ,,감자탕, 051 5832491
바보낙지 범어사점,부산광역시 금정구 청룡로 59 (남산동),부산광역시 금정구 남산동 954-1 ,,샤브샤브, 051 5831411
황금오리,부산광역시 금정구 금강로446번길 41 (구서동),부산광역시 금정구 구서동 252-18 ,한식,오리고기,051 512 5294
금정산성 금성,부산광역시 금정구 산성로 443 (금성동),부산광역시 금정구 금성동 225 ,,염소불고기,051 517 4847
초심한우정,부산광역시 금정구 범어천로 11 (남산동),부산광역시 금정구 남산동 103-18 ,,생갈비,051 517 7892
백향목,부산광역시 금정구 땅곡길 37 (금성동),부산광역시 금정구 금성동 295 ,,,051 517 9252
주식회사 이랴이랴 푸드웰,부산광역시 금정구 중앙대로 1975 (남산동),부산광역시 금정구 남산동 129-8 ,,갈비, 051 5171003
달궈진 불판집 온천직영점,부산광역시 금정구 온천장로 133 (장전동),부산광역시 금정구 장전동 652-76 ,,삼겹살,
장어만(鰻),부산광역시 금정구 중앙대로 1617-12 (부곡동),"부산광역시 금정구 부곡동 268-2 101동 103,104호",,,
푸주옥 설렁탕 도가니탕,부산광역시 금정구 금정로 248 (구서동),부산광역시 금정구 구서동 420-56 ,,,051 518 9520
하마정원,부산광역시 금정구 범어사로 344 (청룡동),부산광역시 금정구 청룡동 208-1 ,한식,생갈비,051 508 9233
하얀집,부산광역시 강서구 과학산단로334번다길 10 (지사동),부산광역시 강서구 지사동 1191-6 ,한식,대구탕,051 973 7008
진해물산(주)용장어요리전문점,부산광역시 강서구 낙동남로682번길 94 (녹산동),부산광역시 강서구 녹산동 97-20 ,한식,장어,051 941 5031
부산축산농협 축산물종합프라자,"부산광역시 강서구 낙동남로 446-1, 1층,2층 (녹산동)",부산광역시 강서구 녹산동 1215-17 1층 2층 ,한식,불고기,051 831 3200
동원숯불갈비,부산광역시 연제구 과정로276번길 9 (연산동),부산광역시 연제구 연산동 366-47 ,한식,돼지갈비, 051 8642379
해암뷔페,"부산광역시 연제구 중앙대로 1099 (연산동,,13)","부산광역시 연제구 연산동 1242-8 ,13 ",뷔페식,뷔페,051 867 7600
팔미초밥,"부산광역시 연제구 월드컵대로119번길 8, 팔미빌딩 2층 (연산동)",부산광역시 연제구 연산동 701-8 팔미빌딩 ,일식,회초밥, 051 8650160
국제밀면,부산광역시 연제구 중앙대로1235번길 23-6 (거제동),부산광역시 연제구 거제동 242-23 ,분식,밀면, 051 5015507
가야할매밀면,"부산광역시 연제구 월드컵대로145번길 32 (연산동,1층)",부산광역시 연제구 연산동 1279-1 1층 ,분식,밀면, 051 8658017
대명가꼬리곰탕,부산광역시 연제구 월드컵대로145번길 37 (연산동),부산광역시 연제구 연산동 1287-8 ,한식,꼬리곰탕, 051 8535564
청담,부산광역시 연제구 연안로 1 (연산동),부산광역시 연제구 연산동 419-5 ,한식,정식, 051 7610002
만수아구찜,부산광역시 연제구 교대로54번길 9-4 (거제동),부산광역시 연제구 거제동 347-0 ,한식,"아구찜, 수육", 051 5024354
가야골갈비,부산광역시 연제구 법원북로 63-2 (거제동),부산광역시 연제구 거제동 380-7 ,한식,돼지갈비, 051 5031567
옛고을,부산광역시 연제구 법원북로 77-4 (거제동),부산광역시 연제구 거제동 386-30 ,,,
일품향,부산광역시 연제구 법원북로3번길 7 (거제동),부산광역시 연제구 거제동 1476-9 ,중식,중식, 051 5077762
청산민물장어,부산광역시 연제구 월드컵대로145번길 42 (연산동),부산광역시 연제구 연산동 1288-22 ,한식,장어구이,051 853 8892
돌집,"부산광역시 연제구 법원남로10번길 23-1 (거제동,301호)",부산광역시 연제구 거제동 1488-2 301호 ,한식,정식, 051 5079233
만포장 회 전문점,부산광역시 연제구 법원북로3번길 15 (거제동),부산광역시 연제구 거제동 1476-7 ,일식,생선회, 051 5036865
우미장꼬리곰탕,부산광역시 연제구 법원로32번길 18 (거제동),부산광역시 연제구 거제동 1489-1 ,한식,생태탕, 051 5012208
윤태금 복국,"부산광역시 연제구 월드컵대로145번길 29 (연산동,(덕산프라자 2층))",부산광역시 연제구 연산동 1287-13 (덕산프라자 2층) ,한식,복국, 051 8665295
영덕대게시청점,부산광역시 연제구 거제천로 101-1 (거제동),부산광역시 연제구 거제동 457-30 ,,, 051 8633572
대륙 미가원,"부산광역시 연제구 월드컵대로120번길 12 (연산동,1층)",부산광역시 연제구 연산동 746-3 1층 ,한식,아구찜, 051 8668008
토곡정,부산광역시 연제구 토곡로 7 (연산동),부산광역시 연제구 연산동 490-30 ,한식,소고기 모듬구이,051 751 9280
부자회관 부산시청점,부산광역시 연제구 신촌로23번길 24 (연산동),부산광역시 연제구 연산동 1502-16 ,한식,소갈비, 055 3124418
용궁반점,"부산광역시 수영구 무학로22번길 4, 1층 (광안동)",부산광역시 수영구 광안동 120-124 1층 ,중식,자장면, 051 7512267
청송양곱창,"부산광역시 수영구 남천동로108번길 8, 1~2층 (남천동)",부산광역시 수영구 남천동 6-13 ,한식,양곱창,051 627 5291
청산1954,"부산광역시 수영구 황령산로 29, 2층 (남천동)",부산광역시 수영구 남천동 45-9 2층 ,한식,"유황청둥오리,흑돼지생삼겹살", 051 6250500
뉴부산횟집,"부산광역시 수영구 광안해변로 31-5, 1~3층 (남천동)",부산광역시 수영구 남천동 558-17 1~3층 ,한식,생선회, 051 6254200
서울부대찌게,"부산광역시 수영구 남천동로9번길 66, 1층 (남천동)",부산광역시 수영구 남천동 9-8 (1층) ,한식,"부대찌개, 전골",051 621 8080
서울깍두기,"부산광역시 수영구 남천동로9번길 61, 1층 (남천동)",부산광역시 수영구 남천동 8-4 1층 ,한식,설렁탕, 051 6213989
포항물횟집,"부산광역시 수영구 광안해변로290번길 17, 1~2층 (민락동)",부산광역시 수영구 민락동 181-120 ,한식,"생선회, 물회", 051 7525732
남천삼계탕,"부산광역시 수영구 남천동로108번길 14, 1층 (남천동)",부산광역시 수영구 남천동 6-8 (1층) ,한식,삼계탕,051 759 1999
광안리 까치횟집,"부산광역시 수영구 광안해변로344번길 17-20, 5층 5호 (민락동, 풍경타워)",부산광역시 수영구 민락동 110-50 풍경타워 5층 5호 ,한식,생선회, 051 7535866
동화대반점,"부산광역시 수영구 수영로427번길 11, 1~2층 (남천동)",부산광역시 수영구 남천동 69-2 1~2층 ,중식,탕수육, 051 6116686
할매재첩국,"부산광역시 수영구 광남로120번길 8, 1층 (광안동)","부산광역시 수영구 광안동 198-1 8,9 (1층) ",,재첩국, 051 7517658
광안밀면,"부산광역시 수영구 수영로 587, 1층 (광안동)",부산광역시 수영구 광안동 741-9 외 2필지 ,한식,밀면, 051 7515250
수정궁,"부산광역시 수영구 민락수변로 25, 1~5층 (민락동, 수정궁빌딩)","부산광역시 수영구 민락동 181-166 수정궁빌딩, 1~5층 ",한식,생선회,051 753 2811
광안리 부산횟집,"부산광역시 수영구 민락수변로 29, 4층 (민락동, 바다마루)",부산광역시 수영구 민락동 181-223 바다마루 4층 ,한식,생선회,051 753 8881
광안리 신라횟집,"부산광역시 수영구 민락수변로7번길 16, 비치프라자 2~4층 (민락동)",부산광역시 수영구 민락동 181-149 비치프라자 ,한식,생선회,051 753 2800
여로초장집,부산광역시 사상구 백양대로 977-1 (모라동),부산광역시 사상구 모라동 1329-1 ,한식,생선회, 051 3122881
곰보식당,부산광역시 사상구 낙동대로 1564 (삼락동),부산광역시 사상구 삼락동 50-1 ,한식,안심,051 304 7733
삼락하동재첩국,부산광역시 사상구 낙동대로1518번길 33 (삼락동),부산광역시 사상구 삼락동 70-20 ,한식,재첩국, 051301 7200
할매재첩국,부산광역시 사상구 낙동대로1530번길 20-15 (삼락동),부산광역시 사상구 삼락동 69-4 ,한식,재첩국, 051 3017069
남촌 안주마을,부산광역시 사상구 광장로81번길 27 (괘법동),부산광역시 사상구 괘법동 535-8 ,한식,돼지갈비, 051 3272127
만리장성,부산광역시 사상구 새벽시장로56번길 37 (감전동),부산광역시 사상구 감전동 151-7 ,중식,자장면,051 327 6652
아지매제첩국,부산광역시 사상구 낙동대로1530번길 20-9 (삼락동),부산광역시 사상구 삼락동 69-3 ,한식,재첩국, 051 3011423
아낙촌,부산광역시 사상구 낙동대로 722 (엄궁동),부산광역시 사상구 엄궁동 159-1 ,한식,해장국,
대궐안집 ,부산광역시 사상구 광장로 68 (괘법동),부산광역시 사상구 괘법동 559-11 ,한식,소갈비, 051 3221223
호돌이갈비,부산광역시 사상구 사상로 285 (덕포동),부산광역시 사상구 덕포동 422-15 ,한식,돼지갈비,051 302 0460
대한복집,"부산광역시 사상구 새벽로202번길 10, 1층 (괘법동)",부산광역시 사상구 괘법동 581-30 1층 ,한식,복국, 051 3224888
오륙도낙지,부산광역시 사상구 모라로 64 (모라동),부산광역시 사상구 모라동 1039-0 ,한식,낙지전골, 051 3015253
삼락식당,부산광역시 사상구 사상로233번길 10 (괘법동),부산광역시 사상구 괘법동 524-45 ,한식,재첩국,051 328 4140
엄궁복국,부산광역시 사상구 낙동대로 765 (엄궁동),부산광역시 사상구 엄궁동 475-1 ,한식,복국,051 314 1134
곱테랑,부산광역시 사상구 새벽로 218 (괘법동),부산광역시 사상구 괘법동 558-7 ,한식,정식,051 317 2071
구덕민속촌,부산광역시 사상구 학감대로39번안길 15-17 (학장동),부산광역시 사상구 학장동 153 ,한식,생갈비, 051 3110127
주왕산삼계탕,부산광역시 사상구 광장로 34 (괘법동),부산광역시 사상구 괘법동 565-6 2호동 ,한식,삼계탕,051 313 3328
황토민물장어구이,부산광역시 사상구 새벽로202번길 10 (괘법동),부산광역시 사상구 괘법동 581-30 ,한식,장어구이, 051 3248892
고집불통,부산광역시 사상구 백양대로 463 (주례동),부산광역시 사상구 주례동 367-1 ,한식,삼겹살, 051 3158227
기장대게도매,부산광역시 사상구 엄궁로 7 (엄궁동),부산광역시 사상구 엄궁동 687-3 ,한식,대게, 051 3234900
갈매기 마을,부산광역시 사상구 학장로 330 (주례동),부산광역시 사상구 주례동 1162-28 ,한식,대패삼겹살,
바다회센타,부산광역시 사상구 사상로469번길 20 (모라동),부산광역시 사상구 모라동 750-1 ,한식,생선회,051 302 2342
돈짝 학장점,부산광역시 사상구 학감대로123번길 43 (학장동),부산광역시 사상구 학장동 451-6 ,한식,장어구이,051 312 5005
르네상스(크로네) 뷔폐,"부산광역시 사상구 광장로 60, 4~5층 (괘법동, 르네상스호텔)",부산광역시 사상구 괘법동 559-6 르네상스호텔 4~5층 ,뷔페식,뷔폐,051 327 3877
최기택송이아구찜,부산광역시 사상구 엄궁로 206 (엄궁동),부산광역시 사상구 엄궁동 567-6 ,한식,아구찜,051 322 8688
창녕순대국밥,"부산광역시 사상구 새벽로168번길 37, 1층 (감전동)",부산광역시 사상구 감전동 121-22 ,한식,국밥, 051 3135128
부산양지탕,부산광역시 사상구 새벽시장로 146 (감전동),부산광역시 사상구 감전동 139-33 ,한식,양지창,051 317 3677
샤브향 주례개금점,부산광역시 사상구 가야대로 384 (주례동),부산광역시 사상구 주례동 57-14 ,한식,샤브샤브,051 312 5454
돈돈촌,부산광역시 사상구 백양대로 887-26 (모라동),부산광역시 사상구 모라동 521 ,한식,돼지갈비, 051 3168383
청기와샤브샤브,부산광역시 사상구 학감대로39번안길 15-9 (학장동),부산광역시 사상구 학장동 160-7 외2필지(C동) ,한식,샤브샤브, 051 3249015
골목아구찜,부산광역시 사상구 모라로 90-14 (모라동),부산광역시 사상구 모라동 952-5 ,한식,아구찜, 051 3150755
33숯불갈비,부산광역시 사상구 낙동대로776번길 27 (엄궁동),부산광역시 사상구 엄궁동 514-27 ,한식,돼지갈비, 051 3173177
분홍돼지,"부산광역시 사상구 가야대로282번길 38, 1층 (주례동)",부산광역시 사상구 주례동 1162-100 ,한식,찜갈비,051  3163455
"사상목촌돼지국밥, 국민삼겹",부산광역시 사상구 광장로 85 (괘법동),부산광역시 사상구 괘법동 545-22 ,한식,돼지국밥,051 361 7000
청운횟집,부산광역시 사상구 광장로81번길 28 (괘법동),부산광역시 사상구 괘법동 536-9 ,한식,생선회,051 317 1200
외식1번가서부산,부산광역시 사상구 농산물시장로 36 (엄궁동),부산광역시 사상구 엄궁동 652-7 ,한식,소갈비,051 324 5757
24시 전주명가 콩나물국밥 사상덕포점,"부산광역시 사상구 사상로 332, 1층 (덕포동)",부산광역시 사상구 덕포동 404-9 1층 ,한식,생선회,051 303 7314
샤브향,"부산광역시 사상구 백양대로 987, 5층 (모라동)",부산광역시 사상구 모라동 170 5층 ,한식,쌈, 051 3023535
신월 양꼬치,부산광역시 사상구 주례로9번길 25 (주례동),부산광역시 사상구 주례동 55-198 ,한식,닭갈비,051 312 9233
한라돈이 익는 마을애,부산광역시 사상구 광장로 103 (괘법동),부산광역시 사상구 괘법동 543-10 ,한식,삽겹살,051 312 7499
오이시,"부산광역시 사상구 가야대로284번길 11, 1층 (주례동)",부산광역시 사상구 주례동 507-18 ,일식,초밥,051 313 8253
힘쎈민물장어,부산광역시 사상구 주례로 261 (학장동),부산광역시 사상구 학장동 535-11 ,한식,장어,051 316 8001
정다옥 설렁탕,"부산광역시 사상구 농산물시장로 22, 1층 103호 (엄궁동)",부산광역시 사상구 엄궁동 651-103 103호 ,한식,설렁탕,051 623 1233
이화수전통육개장 사상구청점,"부산광역시 사상구 학감대로 257, A동 1층 108호 (감전동, 보생빌딩)",부산광역시 사상구 감전동 134-8 108호 ,한식,육개장,051 323 8006
죽도집,부산광역시 기장군 기장읍 연화1길 215,부산광역시 기장군 기장읍 연화리 112 ,한식,생선회, 051 7212411
나루터연화,부산광역시 기장군 기장읍 연화1길 183 (3층 중 1층),부산광역시 기장군 기장읍 연화리 143 3층 중 1층 ,,생선회, 051 7212415
장안매운탕,"부산광역시 기장군 장안읍 장안로 75-4, 1층",부산광역시 기장군 장안읍 기룡리 306 1층 ,한식,매운탕, 051 7270679
장안집,부산광역시 기장군 장안읍 장안로 365,부산광역시 기장군 장안읍 장안리 420 1층 ,한식,오리불고기, 051 7271819
가보자짬뽕,부산광역시 기장군 장안읍 해맞이로 425,부산광역시 기장군 장안읍 길천리 205-4 ,중식,중식, 051 7273911
가마솥생복집,부산광역시 기장군 기장읍 차성로 327-2,부산광역시 기장군 기장읍 동부리 117-10 ,한식,복요리, 051 7222995
기장밀면,부산광역시 기장군 기장읍 청강로85번길 100,부산광역시 기장군 기장읍 청강리 158-4 ,한식,밀면, 051 7213087
동양가든,부산광역시 기장군 기장읍 반송로 1550,부산광역시 기장군 기장읍 서부리 13-3 ,한식,"한우, 돼지고기", 051 7228673
천지대게,"부산광역시 기장군 기장읍 차성로288번길 11, 1층",부산광역시 기장군 기장읍 대라리 419-30 1층 ,,"킹크랩, 대게",051 724 0203
오양수산장어구이센터,부산광역시 기장군 기장읍 기장해안로 548-3,부산광역시 기장군 기장읍 대변리 203-5 ,한식,장어구이, 051 7210074
기장해변짚불곰장어,부산광역시 기장군 기장읍 공수2길 11,부산광역시 기장군 기장읍 시랑리 563-1 ,한식,곰장어, 051 7214539
일광대복집,부산광역시 기장군 일광읍 이화로 3,부산광역시 기장군 일광읍 이천리 771-3 ,한식,복요리, 051 7211561
피터펫카페본점,부산광역시 기장군 기장읍 내리1길 13,부산광역시 기장군 기장읍 내리 346-5번지 ,한식,한우,051 988 8000
신라해장국(장안점),"부산광역시 기장군 장안읍 장안로 8, B동 109호",부산광역시 기장군 장안읍 기룡리 448-1 B동 109호,한식,해장국,051 727 7955
송하원,부산광역시 기장군 철마면 안평로11번나길 11-4,부산광역시 기장군 철마면 안평리 518-5 ,한식,한우,051 721 8692
속초이모네,부산광역시 기장군 기장읍 대변로 105,부산광역시 기장군 기장읍 대변리 517 ,,생선찜, 051 6126253
장안민물장어,부산광역시 기장군 장안읍 하근1길 5,부산광역시 기장군 장안읍 기룡리 313-9 ,,민물장어,051 727 8292
