name,address,hours,phone,menu,description,category,price_range,specialties,area
내호냉면,부산광역시 남구 우암번영로26번길 17 (우암동),10:30~19:00(마지막 주문 18:30),051-646-6195,"메뉴 냉면(소 1만1천원, 대 1만3천원), 밀면(소 8천원, 대 9천원), 비빔밀면(소 8천5백원, 대 9천5백원), 양념가오리회(1만3천원), 만두(6천원)","내호냉면주소부산광역시 남구 우암번영로26번길 17 (우암동)전화051-646-6195영업시간10:30~19:00(마지막 주문 18:30)휴일연중무휴메뉴냉면(소 1만1천원, 대 1만...",생선회/해산물,"1,000~9,000원","['냉면', '밀면', '비빔밀면']",남구
남해복국주소부산광역,부산광역시 서구 충무대로201번길 9 (남부민동),10:00~21:00,051-246-2382,음식,"남해복국주소부산광역시 서구 충무대로201번길 9 (남부민동)전화051-246-2382영업시간10:00~21:00휴일일요일 휴무메뉴지리, 매운탕(까치복 1만3천원, 참복 2만5천원)...",복요리,"3,000~5,000원",['대표메뉴'],서구
남항횟집,정보없음,10:30~21:00(마지막 주문 20:00),051-721-2302,음식,"남항횟집주소부산광역시 기장군 기장읍 기장해안로 572 (기장읍)전화051-721-2302영업시간10:30~21:00(마지막 주문 20:00)휴일화요일, 명절 휴무메뉴멸치쌈밥세트, 멸치물회세트(각 2인 이상, 1인 2만2천원), 남항코스(2인 이상, 1인 5만원), 짚불곰장어, 양념곰장어, 방어회, 아나고회, 모둠회(각 2인 이상, 1인 3만원), 해물탕(소.",생선회/해산물,"2,000~2,000원",['생선회'],기타
꺼먹동네주소부산광역,정보없음,09:00~20:30(마지막 주문 19:30),051-727-1427,"메뉴 붕장어회, 장어구이(각 5만원), 모둠회(소 6만원, 중 8만원, 대 10만원), 마리고기(시가), 우럭구이, 장어매운탕(각 3만원)","꺼먹동네주소부산광역시 기장군 일광면 문오성길 509 (일광면)전화051-727-1427영업시간09:00~20:30(마지막 주문 19:30)휴일둘째 주 월요일, 명절 휴무메뉴붕장어회...",생선회/해산물,"8,000~12,000원","['붕장어회', '장어구이', '모둠회']",기타
기와집,부산광역시 해운대구 달맞이길50번길 4 (중동),08:00~21:00,051-731-5020,메뉴 대구탕(1만5천원),기와집대구탕주소부산광역시 해운대구 달맞이길50번길 4 (중동)전화051-731-5020영업시간08:00~21:00휴일명절 휴무메뉴대구탕(1만5천원)...,기타,"5,000~5,000원",['대구탕'],해운대구
급행장주소부산광역시,부산광역시 부산진구 서면문화로 4 (부전동),11:00~22:00(마지막 주문 20:50),051-809-2100,음식,"급행장주소부산광역시 부산진구 서면문화로 4 (부전동)전화051-809-2100영업시간11:00~22:00(마지막 주문 20:50)휴일연중무휴메뉴한우생갈비(150g 4만9천원), 스페셜한우모둠(100g 4만1천원), 한우갈빗살(100g 3만6천원), 한우등심(100g 3만6천원), 한우차돌박이(100g 2만5천원), 한우육회(중 150g 2만5천원, 대 18.",갈비/고기,"1,000~9,000원",['대표메뉴'],부산진구
금수복국주소부산광역,부산광역시 해운대구 중동1로43번길 23 (중동),11:00~15:00(마지막 주문 13:30)/17:00~22:00(마지막 주문 20:30),051-742-3600,음식,"금수복국주소부산광역시 해운대구 중동1로43번길 23 (중동)전화051-742-3600영업시간1층 금수복국 24시간 영업
2층 복요리전문점 11:00~15:00(마지막 주문 13:30)/17:00~22:00(마지막 주문 20:30)휴일연중무휴메뉴까치복국맑은탕(2만2천원, 특 2만6천원), 까치복국매운탕(2만3천원, 특 2만7천원), 복회무침(3만5천원), 복.",생선회/해산물,"2,000~7,000원",['대표메뉴'],해운대구
궁중해물탕조씨집,부산광역시 남구 진남로 7-11 (대연동),11:30~21:40(마지막 주문 20:50),07-1323-4749,메뉴 팔뚝탕(1만2천원),"궁중해물탕조씨집주소부산광역시 남구 진남로 7-11 (대연동)전화0507-1323-4749영업시간월~금 11:30~21:40(마지막 주문 20:50) 
토요일 11:30~21:30(마지막 주문 20:40)휴일일요일메뉴팔뚝탕(1만2천원)
궁중해물탕(소 3만5천원, 중 5만원, 대 6만5천원)
백년해물탕(소 4만2천원, 중 5만8천원, 대 7만5천원) 
조C코스.",기타,"2,000~8,000원",['팔뚝탕'],남구
구포촌국수주소부산광,부산광역시 금정구 금샘로 490 (남산동),10:30~15:00,051-515-1751,"메뉴  국수(보통 6천원, 곱빼기 7천원, 특대 8천원)","구포촌국수주소부산광역시 금정구 금샘로 490 (남산동)전화051-515-1751영업시간10:30~15:00
토, 일요일 10:30~19:00휴일월요일, 명절메뉴국수(보통 6천원, ...",국수/면류,"6,000~8,000원",['대표메뉴'],금정구
구포집,부산광역시 중구 보수대로36번길 14-1 (부평동3가),09:00~21:00,051-244-2146,"메뉴 추어탕(1만1천원), 복국, 회비빔밥(각 1만5천원), 생선초밥, 파전(각 2만원), 생선회(5만원, 대 7만원)","구포집주소부산광역시 중구 보수대로36번길 14-1 (부평동3가)전화051-244-2146영업시간09:00~21:00휴일일요일, 명절 휴무메뉴추어탕(1만1천원), 복국, 회비빔밥(각...",생선회/해산물,"1,000~5,000원","['추어탕', '생선회']",중구
구조방낙지주소부산광,부산광역시 동래구 명륜로94번길 39 (명륜동),10:00~21:00(마지막 주문 20:45),051-558-0295,"메뉴 낙곱새, 낙새, 낙곱, 곱새(각 1만2천원), 낙지(1만1천원), 곱창전골(1만3천원) 연포탕, 산낙지볶음(각 중 5만5천원, 대 6만5천원), 산낙지회(4만원)","구조방낙지주소부산광역시 동래구 명륜로94번길 39 (명륜동)전화051-558-0295영업시간10:00~21:00(마지막 주문 20:45)휴일화요일 휴무메뉴낙곱새, 낙새, 낙곱, 곱...",생선회/해산물,"1,000~5,000원","['연포탕', '산낙지회']",동래구
고갈비,부산광역시 중구 광복로67번길 22 (광복동2가),5:00~23:00,051-246-6076,"메뉴 고등어갈비(1만8천원), 고등어조림(2만3천원), 달걀말이(1만원)","고갈비남마담주소부산광역시 중구 광복로67번길 22 (광복동2가)전화051-246-6076영업시간5:00~23:00휴일연중무휴메뉴고등어갈비(1만8천원), 고등어조림(2만3천원), 달...",갈비/고기,"3,000~8,000원","['고등어갈비', '고등어조림', '갈비구이']",중구
개금밀면,부산광역시 부산진구 가야공원로14번길 88-8 (개금동),11:00~19:40,051-892-3466,"메뉴 물밀면, 비빔밀면(각 중 9천원, 대 1만원), 개금만두(6개 5천원), 고기고명, 회고명추가(각 2천원)","개금밀면주소부산광역시 부산진구 가야공원로14번길 88-8 (개금동)전화051-892-3466영업시간11:00~19:40휴일명절 당일 휴무메뉴물밀면, 비빔밀면(각 중 9천원, 대 1...",생선회/해산물,"2,000~9,000원","['물밀면', '비빔밀면']",부산진구
가마솥생복집,정보없음,09:00~21:00,051-722-2995,음식,"가마솥생복집주소부산광역시 기장군 기장읍 차성로 327-2 (기장읍)전화051-722-2995영업시간09:00~21:00휴일월요일 휴무메뉴복지리, 복매운탕(각 밀복 1만7천원, 생밀...",복요리,"7,000~7,000원",['대표메뉴'],기타
60년전통할매국밥주소부산광역시,부산광역시 동구 중앙대로533번길 4 (범일동),10:00~19:00,051-646-6295,"메뉴  돼지국밥, 내장국밥, 따로국밥(각 8천원), 고기국수(7천원), 수육백반(1만원), 수육(소 1만3천원, 중 2만원, 대 3만원)","60년전통할매국밥주소부산광역시 동구 중앙대로533번길 4 (범일동)전화051-646-6295영업시간10:00~19:00휴일일요일, 명절 휴무메뉴돼지국밥, 내장국밥, 따로국밥(각 8...",국밥,"3,000~8,000원","['돼지국밥', '내장국밥', '따로국밥']",동구
18번완당집주소부산광역시,부산광역시 중구 비프광장로 31 (남포동3가),10:30~20:00(마지막 주문 19:30),051-245-0018,음식,"18번완당집주소부산광역시 중구 비프광장로 31 (남포동3가)전화051-245-0018영업시간10:30~20:00(마지막 주문 19:30)휴일연중무휴메뉴완당, 완당면, 완당우동, 소고기덮밥(각 1만원), 완당세트, 완당정식, 쟁반모밀(각 1만3천원), 김초밥, 김치김밥(각 5천원), 유부초밥(6천원), 냉모밀국수, 비빔모밀(각 9천원), 새우완당면(1만1천원.",국수/면류,"1,000~9,000원",['대표메뉴'],중구
